Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
kalitka_man,,,2025.150538,2000,1,47,46,93
ZeruHmyz,,,2213.04717,2200,1,168,150,318
PRESA,,,2511.423077,2480,0,12,14,26
Blitzstream-twitch,,,2381.953846,2360,0,30,35,65
Pikuro,,,2053.627451,2040,1,80,71,151
IvTK,,,2054.492308,2040,1,33,32,65
Matetricks,,,2515.083333,2480,0,6,6,12
orsonico,,,2028.818182,2000,1,5,6,11
pythondave,,,2151.175,2120,0,11,7,18
amin2101,,,2015,2000,1,1,1,2
DragonRU,,,2210.5,2200,1,3,3,6
tens,,,2012.142857,2000,1,10,11,21
solenko,,,2018.763158,2000,3,2,0,2
jankud,,,2069.794872,2040,1,20,19,39
Yegresmd,,,2113.473684,2080,1,34,42,76
Mohsenabutalebi,,,2162.388889,2160,1,8,8,16
monstrella,,,2042.5375,2040,1,36,44,80
amayak,,,2055.34375,2040,1,33,31,64
iman60,,,2021.395833,2000,1,19,29,48
larpayam,,,2057.686275,2040,1,26,25,51
looka,,,2029.83871,2000,1,17,14,31
brahmsguitar,,,2014,2000,1,1,1,2
ZibbitVideos,,,2191.166667,2160,0,2,4,6
lokomotiv_bz,,,2070.5,2040,0,3,1,4
Chalberts,,,2135.541176,2120,1,42,43,85
tibi,,,2085.3,2080,1,2,38,40
Daltonic,,,2031.833333,2000,1,2,4,6
avv,,,2087.384615,2080,1,38,40,78
phil9234,,,2025.714286,2000,1,5,2,7
mecker,,,2187.485263,2160,1,402,548,950
elrond,,,2161.190476,2160,0,34,29,63
zergy,,,2302.306667,2280,0,37,38,75
Jusuf-Np,,,2078.657143,2040,1,47,58,105
antoinette,,,2084.555556,2080,0,5,4,9
moj1990,,,2052.468254,2040,1,32,29,61
a2a4h7h5,,,2013,2000,1,1,0,1
crazyslon,,,2043.185185,2040,1,40,41,81
arpouille,,,2112.528846,2080,1,45,59,104
MR-Siamak,,,2112.421053,2080,0,10,9,19
TTZO,,,2076.628571,2040,1,18,17,35
Berezkin,,,2142.92931,2120,1,148,140,288
Siline,,,2017.444444,2000,1,4,5,9
caiosparov,,,2020.722222,2000,1,7,11,18
jiktak,,,2094.010714,2080,1,18,22,40
ohdy,,,2068.266667,2040,9,7,8,15
zembelek,,,2043.666667,2040,1,61,47,108
ATorrente,,,2069.519481,2040,1,39,38,77
xaxaxaxa,,,2122.166667,2120,1,2,4,6
milanbelobrk,,,2052.807692,2040,1,14,12,26
krassparov,,,2067.321839,2040,1,41,46,87
pilocl,,,2046.932203,2040,1,226,10,236
babken,,,2090.446154,2080,1,59,71,130
ryksuguskyr,,,2044,2040,1,0,2,2
artin-iran,,,2044.714286,2040,1,5,2,7
andreasw,,,2088.25,2080,1,3,1,4
cesar1994,,,2044.388889,2040,1,10,8,18
Bozantium666,,,2146.2,2120,2,4,6,10
frost111,,,2035,2000,1,0,1,1
rj1997,,,2040.068966,2040,1,17,12,29
RBT02X,,,2056.5,2040,2,1,1,2
jotjesus,,,2128.118644,2120,1,66,52,118
Valtor,,,2023.666667,2000,0,1,2,3
Svonti,,,2034.571429,2000,1,2,5,7
RobbyFischer,,,2085.688889,2080,3,1,2,3
Drak,,,2171,2160,1,3,1,4
mxs,,,2063.666667,2040,2,0,1,1
chesslion,,,2023.5,2000,1,1,1,2
Nevski,,,2038.218487,2000,3,2,3,5
samir0009,,,2096.846154,2080,3,8,5,13
Laudatio,,,2031.608696,2000,1,9,14,23
shelajev,,,2057.370861,2040,1,73,78,151
TheIniciative,,,2083.333333,2080,2,3,3,6
pridoni,,,2037.027473,2000,2,12,12,24
Shaeferov,,,2042.1,2040,1,16,14,30
sosisamm,,,2100.444444,2080,0,13,14,27
Germain,,,2027,2000,1,75,79,154
GodsLeftHand,,,2060,2040,1,1,0,1
CaicoAmaral,,,2041.5,2040,1,17,17,34
kabaplanca,,,2023.733333,2000,1,15,15,30
jorquerino,,,2277.3,2240,1,13,17,30
Horobetz,,,2316.130435,2280,0,24,22,46
BND,,,2049.604167,2040,1,20,28,48
gambitron9000,,,2009,2000,2,1,0,1
Protoreus,,,2037.539683,2000,1,30,33,63
freakyavocado,,,2009,2000,0,2,0,2
naiche,,,2100.88,2080,1,25,25,50
cavanof,,,2317.422222,2280,0,22,23,45
AnatoliyPechenkin,,,2025.170732,2000,1,20,21,41
Albator,,,2172.0625,2160,0,28,36,64
tocaifriulano,,,2120,2120,1,11,6,17
potus0,,,2115.5,2080,13,7,7,14
ruter,,,2085.8,2080,1,21,19,40
dan31,,,2072.4,2040,1,3,2,5
Chess_mosaics,,,2035.25,2000,1,20,20,40
arc_chess,,,2156,2120,1,13,9,22
Adegeminas,,,2081.666667,2080,1,2,4,6
KG_Chess,,,2075,2040,1,1,3,4
twitch_martiss45,,,2036.75,2000,9,1,1,2
abarmard765,,,2082.404255,2080,1,28,64,92
likor64,,,2054.75,2040,1,1,3,4
gimpel,,,2217.363636,2200,1,5,6,11
Shermukshnelis,,,2146,2120,2,0,1,1
intobolivian,,,2012,2000,2,2,1,3
sidneycrode,,,2066.5,2040,1,2,6,8
BearJr,,,2082.756757,2080,1,15,22,37
catzilla,,,2017.111111,2000,1,3,6,9
ManFromMars,,,2011.5,2000,1,2,2,4
peor2,,,2025,2000,1,0,1,1
gulixuli,,,2058.333333,2040,1,3,3,6
romarfa,,,2233.2,2200,1,2,3,5
donairo,,,2022.8,2000,1,8,7,15
Vihvillain,,,2075.576577,2040,0,19,16,35
manono,,,2035.8,2000,1,3,2,5
jorquerov,,,2040.95122,2040,1,21,20,41
ramon444,,,2097.465116,2080,1,18,25,43
Capivarabq,,,2005.666667,2000,1,0,3,3
InTheEnd,,,2372.181818,2360,1,5,6,11
eviltwin,,,2011.111111,2000,1,4,5,9
antavirus,,,2030,2000,1,0,4,4
JimmyMow,,,2008,2000,0,0,1,1
dodi65,,,2035.3,2000,1,13,17,30
Nrock,,,2108.3,2080,2,5,5,10
oleg_h,,,2011,2000,1,2,3,5
aronian1,,,2072.333333,2040,1,0,3,3
mazetr,,,2045,2040,1,9,5,14
