Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
PLATINUM,,,2172.416667,2160,0,25,23,48
sosisamm,,,2046.382716,2040,0,84,85,169
JasonVoorhees,,,2144.333333,2120,0,9,3,12
amazingoid,,,2390.5,2360,0,40,44,84
ImprovingSkill,,,2395.154754,2360,0,83,89,172
mowpet,,,2099.865031,2080,0,87,76,163
pacal56,,,2075.854545,2040,0,3,4,7
PRESA,,,2535.888221,2520,0,15,15,30
Kingscrusher-YouTube,,,2191.279743,2160,0,152,159,311
eqellar,,,2071.662371,2040,0,46,49,95
jlindner,,,2181.011529,2160,0,1327,1342,2669
jonathantheh,,,2240.111111,2240,0,64,62,126
Horobetz,,,2387.25938,2360,0,233,232,465
Thecheesykid,,,2306.673469,2280,0,47,49,96
cocoarg,,,2037,2000,0,46,51,97
nicky,,,2076.453488,2040,0,41,45,86
Baluk,,,2155.278846,2120,0,54,50,104
ZibbitVideos,,,2305.501812,2280,0,45,45,90
MoralIntentions,,,2006,2000,0,1,0,1
mehrabjakvar,,,2477.350649,2440,0,38,39,77
Some-Patzer,,,2613.493902,2600,0,76,88,164
alainsoral,,,2032.869388,2000,0,121,124,245
BVB09,,,2083.516129,2080,0,48,45,93
Toro3,,,2089,2080,0,1,1,2
T3rminat0r,,,2033.25,2000,0,21,17,38
binibin,,,2074.8,2040,0,4,1,5
CarIsen,,,2038,2000,0,1,0,1
Blitzstream-twitch,,,2487.586804,2480,0,363,366,729
elrond,,,2139.726693,2120,0,69,71,140
zergy,,,2242.159728,2240,0,95,99,194
sousapensador,,,2067.791667,2040,3,1,1,2
kutunas,,,2057.157895,2040,0,2,15,17
chessnightmare,,,2224.937396,2200,0,37,38,75
Berezkin,,,2023.646466,2000,1,9,9,18
Phaffans,,,2354.217921,2320,0,233,232,465
sidneycrode,,,2015.807692,2000,1,6,5,11
DariusIV,,,2093.335802,2080,0,71,62,133
Reppko,,,2068.368073,2040,0,43,48,91
Noragerfromsweden,,,2041.675655,2040,0,26,31,57
Mat789189,,,2043.417582,2040,0,184,180,364
dual1,,,2041,2040,0,2,2,4
oyt712345,,,2024,2000,0,1,0,1
Sutileza,,,2050,2040,0,0,1,1
MeikeSchlecker,,,2343.884472,2320,0,404,401,805
Chechess,,,2065.82716,2040,0,41,40,81
otk,,,2138.605769,2120,0,25,25,50
kirisis,,,2172.256571,2160,0,63,60,123
OrangeSpaceDrink,,,2370.355932,2360,0,57,61,118
erindreki,,,2324.312081,2320,0,155,143,298
dreamwalker3,,,2067.822751,2040,0,31,30,61
clipperton,,,2027.825,2000,0,10,8,18
runawayscared,,,2030.179089,2000,1,25,19,44
andrewrun,,,2225.052817,2200,0,69,71,140
Stupidity_Tries,,,2236.985308,2200,0,126,140,266
ajdukapis,,,2033.056,2000,0,9,14,23
Drak,,,2097.5,2080,1,2,0,2
Gorn,,,2172.666506,2160,0,45,36,81
Nictofobia,,,2055.354286,2040,0,87,88,175
Arkadiusz,,,2019.380952,2000,0,10,11,21
cavanof,,,2242.249362,2240,0,61,59,120
gus_fring,,,2333.639398,2320,0,188,192,380
ribarisah,,,2078.18422,2040,0,399,450,849
jeffforever,,,2430.777778,2400,0,7,9,16
kasma,,,2060.85,2040,0,11,9,20
Cosine180,,,2068.5625,2040,0,1,1,2
Shaeferov,,,2022.525,2000,1,1,1,2
DaFud,,,2083.384615,2080,0,19,20,39
alienb,,,2022.2,2000,1,1,2,3
pirouetti,,,2032.714286,2000,0,4,3,7
heel,,,2069.111111,2040,0,29,34,63
akseb,,,2013.846154,2000,0,5,8,13
Benkoman,,,2013.666667,2000,0,2,1,3
RobbyFischer,,,2084.172222,2080,3,2,0,2
lakdrcjbj,,,2024.818627,2000,0,25,24,49
NABat,,,2197.608247,2160,0,48,49,97
arina1999,,,2038.610006,2000,0,42,32,74
Alexinio99,,,2138.653846,2120,0,6,5,11
ruter,,,2026.814286,2000,1,14,12,26
hiranyagarbha,,,2129.970588,2120,0,91,79,170
MR-Siamak,,,2047.555178,2040,0,31,29,60
BOURAKA,,,2004,2000,0,1,0,1
goldenking1998,,,2015,2000,0,1,0,1
D10Kas,,,2012,2000,0,0,1,1
jiktak,,,2047.467381,2040,1,9,4,13
mmmmm2020202020,,,2086.75,2080,0,1,1,2
PERSEI,,,2057.931034,2040,0,14,15,29
suadba,,,2064.329545,2040,0,21,21,42
hackauron,,,2156.727273,2120,0,10,10,20
Svesh,,,2080.051205,2080,0,39,42,81
spab,,,2042.733333,2040,0,8,7,15
claymore,,,2155.837963,2120,0,255,247,502
Vihvillain,,,2109.102386,2080,0,40,32,72
Neverhood,,,2241,2240,0,1,0,1
World-Loser,,,2020.090909,2000,0,6,5,11
mecker,,,2105.660188,2080,1,16,10,26
Daffix,,,2232.68254,2200,0,36,27,63
mehrabking,,,2016,2000,0,2,1,3
Ali_rastbod,,,2348.74,2320,0,50,50,100
DrinkaBit,,,2195,2160,15,0,1,1
benayon,,,2189,2160,15,1,0,1
texttire,,,2190.54717,2160,0,80,77,157
antoinette,,,2038.720867,2000,0,19,20,39
KNST_495_888,,,2024,2000,0,10,11,21
upandcomer,,,2091.537037,2080,1,5,2,7
deozki,,,2007.285714,2000,0,4,3,7
god_ofwar,,,2193,2160,0,2,1,3
bal_gecesi,,,2172.807692,2160,0,13,13,26
MontessoriChess,,,2038.133333,2000,0,6,7,13
Assios,,,2263.896514,2240,0,78,73,151
godofwar2014,,,2398.352941,2360,0,10,7,17
alkemisti,,,2069.571429,2040,16,2,3,5
pythondave,,,2123.629,2120,0,38,35,73
Tata190,,,2024.528571,2000,3,2,3,5
bia,,,2003,2000,1,0,1,1
ramtin939,,,2019,2000,0,1,0,1
Romoda,,,2136.078374,2120,1,36,27,63
osipov,,,2014.666667,2000,0,18,22,40
mknz,,,2048.752525,2040,0,14,17,31
monoid,,,2067,2040,0,9,7,16
Bale11,,,2112.5,2080,0,0,2,2
kicmak,,,2224.809713,2200,0,104,106,210
gonzalesramon,,,2048,2040,1,1,0,1
OneOfTheQ,,,2021.416667,2000,0,13,11,24
lambda777,,,2047.666667,2040,0,2,1,3
hashiva,,,2064.666667,2040,0,24,27,51
chesserstein,,,2167.875912,2160,0,70,65,135
Florinmagnus,,,2069.496183,2040,0,64,67,131
raskolnikov56,,,2173.79955,2160,0,58,51,109
jpcheck,,,2019.190476,2000,0,3,2,5
amourmonstre,,,2398.405934,2360,0,49,48,97
istil,,,2061.937153,2040,4,9,9,18
igo1,,,2164.023599,2160,0,168,171,339
bikhial,,,2236.387261,2200,0,786,782,1568
infinite-automata,,,2050.103823,2040,0,82,79,161
Daimon1990,,,2077.916667,2040,0,12,12,24
Maotoonlente,,,2027,2000,0,0,3,3
twitch_martiss45,,,2042.458333,2040,9,2,2,4
JeanH,,,2238.870801,2200,0,16,18,34
blue13,,,2017.384615,2000,0,13,13,26
Castrito,,,2075.5,2040,0,4,2,6
bababbabab,,,2210.636364,2200,8,6,5,11
barane,,,2066.666667,2040,8,3,3,6
hyperprior,,,2102.4,2080,0,10,10,20
BearJr,,,2046.626126,2040,1,1,3,4
godes,,,2164.333333,2160,1,1,0,1
santer,,,2044.833333,2040,3,1,5,6
amirkhafan,,,2203.249396,2200,0,247,262,509
GoodTimes,,,2109.295455,2080,1,2,2,4
namardee,,,2086.5,2080,0,0,2,2
AlexDeSouza,,,2123,2120,0,1,0,1
kesarev,,,2214.022273,2200,0,13,16,29
tweet,,,2134,2120,0,1,3,4
halilov,,,2056.25641,2040,0,24,15,39
yavashington,,,2154.354167,2120,0,23,23,46
BAZOUKA,,,2036.625,2000,9,2,4,6
Grettir,,,2015.755556,2000,0,20,25,45
StinkyBoy007,,,2118.644444,2080,0,21,24,45
nimaphkh-iran,,,2031,2000,0,0,1,1
freakyavocado,,,2067.298851,2040,0,89,83,172
terslik,,,2001,2000,0,0,1,1
marathon_woman,,,2149.818182,2120,0,6,5,11
LUISJAVIERLP,,,2214.923077,2200,0,6,7,13
Rettousei,,,2094.4375,2080,3,1,1,2
Glotoswert,,,2003,2000,0,0,1,1
hyakinthos,,,2230.466667,2200,0,10,5,15
StrangeMove,,,2475.856115,2440,0,66,73,139
CormoranKR,,,2081.712245,2080,3,21,19,40
DEVELOP3R,,,2169.2,2160,0,5,5,10
Portos2010,,,2046.7,2040,3,6,10,16
GNBGHBGH,,,2059.857143,2040,7,3,4,7
Blitz177,,,2033.833333,2000,7,1,0,1
HJKJKHJK,,,2284.636364,2280,7,6,5,11
KSKSKSKSXFNDMVCNMXV,,,2383.444444,2360,7,4,5,9
KIKIKIKIKCVKC,,,2431.625,2400,7,4,4,8
Blitz1777,,,2312.5,2280,7,2,2,4
schnappi,,,2072.916667,2040,0,22,26,48
elektroz,,,2086.157895,2080,0,20,18,38
JoaBN,,,2461.119697,2440,0,108,110,218
masal,,,2226.108108,2200,0,20,17,37
prova4002,,,2159,2120,0,1,2,3
JMD,,,2093.638889,2080,0,18,18,36
new77,,,2025.636364,2000,0,5,6,11
yetmez,,,2217.652174,2200,0,12,11,23
oshkob,,,2003,2000,8,0,1,1
Leone,,,2027.333333,2000,0,2,1,3
haky,,,2025.5,2000,8,1,1,2
diegor,,,2046.875,2040,0,6,2,8
D_Stahlberg,,,2104.925588,2080,3,10,8,18
ZMAJ,,,2028.793548,2000,0,70,85,155
labo531,,,2029.38,2000,0,9,14,23
Litium,,,2159.809859,2120,0,77,65,142
RezachessMaster78,,,2041.270833,2040,1,3,7,10
wvar,,,2039.5,2000,0,0,2,2
torkun,,,2008,2000,0,1,0,1
ATorrente,,,2052.506494,2040,1,0,1,1
Ministre_pizza,,,2071.666667,2040,0,5,4,9
Cheese_chess,,,2149.75,2120,0,1,3,4
shredded,,,2494.376471,2480,0,9,6,15
Plor,,,2129,2120,0,2,4,6
sezwho,,,2034.440171,2000,0,124,110,234
cypher2199,,,2087.963636,2080,0,29,26,55
gulixuli,,,2055.777778,2040,1,0,1,1
panaman,,,2019.75,2000,0,32,32,64
impulsee,,,2037.766423,2000,0,68,69,137
lietuvis,,,2072.32,2040,0,16,9,25
cxecxe,,,2081.903704,2080,0,67,68,135
cypher-2199,,,2003,2000,0,1,0,1
radyo,,,2044.25,2040,0,2,2,4
Albator,,,2172.122196,2160,0,72,82,154
kanepe,,,2178.621951,2160,0,43,39,82
savef,,,2050.658385,2040,3,10,11,21
lichess-,,,2061,2040,0,1,0,1
jthc,,,2055,2040,0,19,27,46
Dominated,,,2479.886792,2440,0,54,52,106
MARKEUR,,,2076.994737,2040,3,7,10,17
nayme,,,2217.473684,2200,0,9,10,19
ayathustra,,,2034.539286,2000,1,8,4,12
JakobBo,,,2083.018519,2080,1,4,6,10
Blitzki,,,2049.56,2040,0,14,9,23
cypher199,,,2088.333333,2080,0,1,2,3
TheWall_,,,2047,2040,0,2,3,5
fincan,,,2196.333333,2160,9,4,2,6
nikolaRBM,,,2032.091036,2000,1,2,3,5
MRnimapashi,,,2122.5,2120,18,1,1,2
nimapashimr,,,2040.5,2040,18,1,1,2
sekerlik,,,2041.8,2040,0,2,3,5
raMtiN_MagNuS,,,2066.5,2040,3,1,1,2
sehpa,,,2042.35,2040,3,4,4,8
dfdfdt0202,,,2079.35,2040,3,1,2,3
glee,,,2201.611111,2200,0,19,17,36
I_laugh_at_you,,,2043.625,2040,0,4,4,8
breizhladen,,,2060.509259,2040,1,4,3,7
trio_rio,,,2067,2040,0,1,1,2
tuskerking,,,2030.955752,2000,0,52,59,111
mmm0202,,,2022,2000,0,1,0,1
vicam,,,2029.97619,2000,0,18,22,40
jotjesus,,,2086.568738,2080,1,4,3,7
portakal,,,2193.436893,2160,0,106,100,206
DontBeMad,,,2464.815873,2440,0,96,112,208
Streepo,,,2091.5,2080,0,2,0,2
Yukhno_Alexander,,,2206.556818,2200,1,4,5,9
pajaro,,,2018.904762,2000,0,10,11,21
fasulye,,,2181.166667,2160,3,1,0,1
catal,,,2171.857143,2160,3,3,2,5
Petrovich63,,,2053.704274,2040,1,4,3,7
mutuvan,,,2218.857143,2200,0,20,15,35
Spinaltap,,,2284.269231,2280,0,4,7,11
Mish,,,2167.034884,2160,0,43,43,86
batman2000,,,2066,2040,0,3,0,3
alelagi,,,2076,2040,0,3,3,6
MKna150,,,2028.847018,2000,3,9,8,17
keyboardwarriorr,,,2180.717391,2160,0,11,10,21
Ratatinator,,,2030.462963,2000,0,8,8,16
bmw10,,,2058,2040,0,1,0,1
Alanas,,,2431.390244,2400,0,23,18,41
iranii,,,2017,2000,0,0,1,1
irusha,,,2376.75,2360,0,2,2,4
pipisipis,,,2237.9869,2200,0,229,229,458
-ParLaMenT,,,2044,2040,0,0,1,1
JimmyMow,,,2040.296296,2040,0,28,24,52
goldhourse,,,2008,2000,8,1,1,2
TrickOrTreat,,,2300.564103,2280,0,1,0,1
karimov,,,2027.06142,2000,0,25,33,58
walkingparadox,,,2019.85,2000,0,10,10,20
