Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
brzigonzalez,,,2120.528571,2120,2,45,25,70
worms123,,,2107.208333,2080,2,5,5,10
RBT02X,,,2107.65,2080,2,1,2,3
NjScotsGuy,,,2131.041667,2120,2,16,8,24
nesa10,,,2054.009524,2040,2,0,105,105
futurum,,,2098.282353,2080,2,52,33,85
olman2011,,,2045.2,2040,2,11,4,15
alpay,,,2050.363636,2040,2,6,5,11
registrado,,,2141,2120,2,2,4,6
Yegresmd,,,2115.467105,2080,1,2,4,6
itsmagic,,,2111.453221,2080,2,63,54,117
vit2014,,,2161.519154,2160,2,26,25,51
ali13agheri,,,2127.5,2120,2,2,2,4
lex-1,,,2047.5,2040,2,1,1,2
Bozantium666,,,2217.007692,2200,2,6,5,11
Kazan2502,,,2126.741935,2120,2,3,28,31
littlefiotte,,,2039.25,2000,2,14,18,32
pancholon3000,,,2050,2040,2,5,2,7
olegplus,,,2008.666667,2000,2,2,4,6
Discofox,,,2129.363636,2120,2,25,19,44
Korjab,,,2204,2200,2,1,0,1
EDPAUL,,,2116,2080,2,4,0,4
Putinovic,,,2041.25,2040,2,2,2,4
Rafael100,,,2048.69697,2040,2,35,31,66
gladpie,,,2099.956731,2080,2,8,3,11
escalibut,,,2068.970588,2040,2,9,6,15
cug,,,2152.52,2120,2,12,13,25
Lewis61,,,2025.666667,2000,2,1,2,3
gambitron9000,,,2026.833333,2000,2,0,1,1
Raf48,,,2082,2080,2,7,2,9
dorongmata,,,2105.5,2080,2,0,2,2
nesher,,,2043.507937,2040,2,36,27,63
PoJer,,,2090.5,2080,2,1,1,2
Leningrado,,,2040.25,2040,2,0,4,4
branislav43,,,2095.095238,2080,2,18,3,21
arina1999,,,2088.536669,2080,0,0,1,1
turgutcosan,,,2004,2000,2,1,0,1
twitch_martiss45,,,2028.152778,2000,9,0,1,1
arazaraz,,,2091.955556,2080,2,24,21,45
pridoni,,,2049.265514,2040,2,8,7,15
PlayForLife,,,2123,2120,14,0,1,1
saroyan1990,,,2037,2000,14,1,0,1
pachamama,,,2112.107692,2080,2,11,54,65
sale83,,,2093.142857,2080,2,3,4,7
marikov,,,2108.166667,2080,2,5,7,12
younes_1990,,,2021.545455,2000,2,6,5,11
halley,,,2024,2000,2,1,0,1
80206000,,,2039.125,2000,2,5,11,16
Butafor,,,2158,2120,2,2,1,3
vid,,,2060.412281,2040,2,10,104,114
Krochnoi,,,2025.5,2000,2,4,2,6
duarthes,,,2047,2040,2,1,1,2
jamasukro123,,,2016,2000,2,2,3,5
xithry,,,2113,2080,2,1,0,1
SKI1946,,,2062.375,2040,2,28,12,40
azaharia,,,2019,2000,1,0,1,1
bakovka,,,2070.433962,2040,2,32,21,53
Rahim51,,,2053.25641,2040,2,19,20,39
sasha111,,,2086.607143,2080,2,2,3,5
krassparov,,,2027.728807,2000,1,1,1,2
pulsar,,,2060.2,2040,2,7,3,10
TX1,,,2032.666667,2000,2,3,0,3
D31282,,,2037.25,2000,2,6,2,8
greyberry,,,2011,2000,2,1,1,2
SanPedro,,,2190.333333,2160,2,1,2,3
drmanthan321,,,2021.5,2000,2,4,2,6
Lyova,,,2055,2040,2,1,0,1
sicilianmaster,,,2239.75,2200,2,2,2,4
bandit650s,,,2328.47619,2320,2,12,9,21
Lagrange,,,2173.75,2160,2,2,2,4
Yaguarete,,,2052.258065,2040,2,35,27,62
exiit,,,2079.5,2040,2,1,3,4
Surjadi,,,2051.166667,2040,2,0,6,6
microcommega,,,2008,2000,2,0,1,1
AnnieK,,,2026.25,2000,2,5,7,12
Phyisis,,,2111,2080,2,3,1,4
mashir,,,2065.707692,2040,2,9,56,65
bahram33,,,2043,2040,2,1,1,2
amayak,,,2046.667067,2040,1,6,5,11
Aiss,,,2028.333333,2000,2,2,1,3
pawn-x,,,2018.666667,2000,2,3,3,6
Shumov,,,2104.6,2080,2,5,0,5
fogof,,,2137.775362,2120,2,10,11,21
arshavir,,,2017,2000,2,1,0,1
Dcollins,,,2018,2000,2,0,1,1
voditel,,,2111,2080,2,10,1,11
bigorneau,,,2105.777778,2080,2,5,4,9
unknonsense,,,2029,2000,2,1,0,1
Adegeminas,,,2089.611111,2080,1,0,1,1
Varjag,,,2026,2000,2,0,1,1
mahshid,,,2028.64,2000,2,9,16,25
yspb,,,2004.5,2000,2,2,0,2
ubvftd,,,2107.4,2080,2,3,2,5
YvesAnchouk,,,2153.8,2120,2,7,8,15
Gravey4rd,,,2278.15,2240,1,4,0,4
xequito,,,2078.59375,2040,2,3,3,6
artin-iran,,,2091.339286,2080,1,2,0,2
horst,,,2015,2000,2,3,0,3
tutuy,,,2053,2040,2,1,0,1
Berezkin,,,2101.727904,2080,1,6,8,14
RUMVI,,,2104.5,2080,2,3,3,6
JYOTHSNA-NLC,,,2039,2000,2,1,0,1
Jurij,,,2066.333333,2040,2,7,11,18
azadi,,,2011.6,2000,2,3,7,10
babken,,,2048.305769,2040,1,2,0,2
Buckokokos,,,2043.137931,2040,2,23,6,29
Yukhno_Alexander,,,2228.185606,2200,1,1,0,1
Lasker1900,,,2357.142857,2320,2,17,4,21
tal-i-alo,,,2103.8,2080,2,3,2,5
SerrNikk,,,2034,2000,2,1,0,1
ustag,,,2017.75,2000,2,2,2,4
blueguy7,,,2199.166667,2160,2,1,3,4
kalitka_man,,,2051.52509,2040,1,1,0,1
leonsupreme,,,2125.333333,2120,2,1,2,3
liutikoff,,,2035.333333,2000,2,2,1,3
xnowayx,,,2211.5,2200,2,0,2,2
ashtari,,,2048.25,2040,2,2,2,4
Demonique,,,2038.7,2000,2,10,10,20
Kiyotaka,,,2219.066667,2200,1,1,6,7
Petrovich63,,,2233.088034,2200,1,3,3,6
Safifa,,,2152.5,2120,2,1,1,2
javid1322,,,2034.793651,2000,2,31,32,63
_coco_,,,2189.955556,2160,2,6,1,7
karpov3,,,2026,2000,2,1,0,1
akramcharfeddine,,,2080,2080,2,0,1,1
Andreyp,,,2072,2040,2,0,1,1
petra,,,2008,2000,2,2,1,3
bob62,,,2031,2000,2,2,0,2
jhkij,,,2143,2120,2,1,1,2
kulje,,,2028.04,2000,2,12,13,25
Mcrapbel,,,2029,2000,2,1,0,1
magic-milo,,,2125.273404,2120,2,8,6,14
mpf67,,,2170,2160,2,1,2,3
kamal1386,,,2024.9,2000,2,16,4,20
AP007,,,2037.666667,2000,2,4,2,6
zulo,,,2027,2000,2,2,1,3
aruo,,,2035.444444,2000,2,5,4,9
Pikuro,,,2051.271242,2040,1,1,0,1
claymore,,,2090.439815,2080,0,5,4,9
mecker,,,2127.553396,2120,1,1,0,1
muntesu,,,2092.5,2080,2,5,1,6
clinisbu,,,2138.772727,2120,2,16,6,22
goraja,,,2072.285714,2040,2,9,5,14
kkk68,,,2017,2000,2,0,1,1
ufvij,,,2058,2040,2,1,0,1
saghar1383,,,2008.2,2000,2,5,0,5
littlefiottethebest,,,2006,2000,2,1,0,1
Kramfran,,,2067.882353,2040,2,12,5,17
GrabWlad,,,2144,2120,2,0,1,1
tatalimov,,,2007.962121,2000,1,0,1,1
oquzlar,,,2037.205882,2000,2,26,8,34
ManFromMars,,,2008.916667,2000,1,0,1,1
nik900,,,2116,2080,2,1,0,1
mahir123,,,2013.25,2000,2,4,4,8
jaipov,,,2004.5,2000,2,1,1,2
soapytime,,,2061.548387,2040,2,15,16,31
GMIsmael,,,2040,2040,2,1,0,1
botanik2,,,2029.125,2000,2,5,3,8
LordKiseiju,,,2234,2200,2,1,0,1
matjuck,,,2007.5,2000,2,2,0,2
nolp,,,2136.25,2120,2,4,0,4
realder,,,2071,2040,2,1,0,1
shelajev,,,2044.280905,2040,1,1,3,4
bizamil,,,2028.75,2000,1,1,1,2
d_mikle,,,2121,2120,2,0,1,1
BearJr,,,2048.656532,2040,1,0,2,2
IMBallesteros,,,2138.857143,2120,2,4,3,7
mk64,,,2017.5,2000,2,4,0,4
saber-v,,,2036.106061,2000,2,4,0,4
ChessFantom,,,2019,2000,2,2,2,4
GoodTimes,,,2143.323864,2120,1,1,1,2
HeunD,,,2028,2000,2,5,4,9
chessmusic,,,2050.768595,2040,1,1,3,4
Kollanda,,,2044.3,2040,2,4,6,10
Ludwig_I,,,2032,2000,2,1,1,2
pac2103,,,2010,2000,2,2,0,2
seyedsaeed,,,2011,2000,2,1,1,2
millin,,,2012.5,2000,2,1,1,2
McKane,,,2192.4,2160,2,1,4,5
alia234,,,2011.886364,2000,2,6,3,9
naiche,,,2085.146667,2080,1,0,1,1
nefantii,,,2082.606061,2080,2,20,13,33
sylva,,,2140.8,2120,2,4,1,5
Binimoy,,,2009,2000,2,0,1,1
luisreynoso,,,2041.125,2040,2,3,5,8
91123020,,,2137.941176,2120,2,13,4,17
Taolu,,,2195,2160,2,2,2,4
sajjad_mobaraki,,,2510,2480,2,1,1,2
DrMorte,,,2014,2000,2,0,1,1
zizzou,,,2036.333333,2000,2,1,2,3
lion25,,,2161,2160,2,0,1,1
homoeporediensis,,,2014.541667,2000,2,4,2,6
cofee-chess-11,,,2073.861111,2040,2,0,1,1
langtubeo,,,2041,2040,2,1,0,1
nqclimaster,,,2019.153846,2000,2,7,6,13
Szpilman,,,2021,2000,2,0,1,1
impacto,,,2036,2000,2,1,0,1
Egor777,,,2004,2000,2,0,1,1
MLUN,,,2051.040444,2040,1,4,5,9
moj1990,,,2052.808532,2040,1,1,1,2
pjsino,,,2012,2000,2,0,1,1
plush1,,,2022,2000,2,6,2,8
aurel,,,2024.8,2000,2,13,7,20
serge_vw1,,,2056.777778,2040,1,0,1,1
dsfddsdsds,,,2234.5,2200,2,3,1,4
trotil_,,,2007,2000,2,2,0,2
Maricki,,,2024.672727,2000,2,3,5,8
gat0555,,,2137,2120,2,1,0,1
JOWD,,,2145.5,2120,2,1,1,2
acmeeeeeen,,,2018,2000,20,0,1,1
Al3j0,,,2001,2000,20,1,0,1
Rioma,,,2023.666667,2000,2,2,1,3
subpixel,,,2003.5,2000,2,2,0,2
ZZ2Z277,,,2055,2040,2,2,0,2
Danverg,,,2114.210526,2080,2,13,6,19
Blake,,,2040.041667,2040,1,1,0,1
CaicoAmaral,,,2027.9375,2000,1,1,1,2
arpouille,,,2086.566106,2080,1,1,1,2
jorquerov,,,2041.639373,2040,1,3,2,5
alexkoay,,,2017,2000,2,0,2,2
Pro_100_Mika,,,2038.5,2000,2,2,2,4
JTMFC,,,2035,2000,2,3,1,4
river13,,,2012.55,2000,2,1,2,3
Flasher452,,,2030,2000,2,1,0,1
intobolivian,,,2080.8,2080,2,1,2,3
fra403,,,2036,2000,2,1,0,1
jjvolf79,,,2098.5,2080,4,0,2,2
totalchess,,,2037,2000,2,3,1,4
vnimatelevsfg,,,2013,2000,2,1,0,1
Kuroda,,,2017,2000,2,0,2,2
maximmo,,,2087,2080,2,0,1,1
younes45675,,,2067,2040,2,0,1,1
ZZ7A,,,2049,2040,2,0,1,1
marina17,,,2027.285714,2000,2,12,2,14
lyuw,,,2092,2080,2,1,0,1
topazxan,,,2019.0625,2000,2,4,2,6
azertyu123,,,2059.5,2040,2,2,0,2
vas1945,,,2130.054245,2120,2,74,30,104
danlokgarzon,,,2008.5,2000,2,1,1,2
rigosj,,,2096.047619,2080,2,2,3,5
lasker2,,,2100.659664,2080,1,2,3,5
yhfjmxm,,,2014,2000,2,0,1,1
kholifatullah,,,2086,2080,2,0,1,1
iNUiT_nUNAAt,,,2113.444444,2080,2,1,0,1
younes6767,,,2066,2040,2,0,1,1
shaxMSTAtist,,,2082.119048,2080,1,3,2,5
sumandas,,,2027.5,2000,2,3,1,4
ti812,,,2209,2200,2,0,1,1
Milan2334,,,2063,2040,2,2,0,2
yjunior2013-1,,,2008,2000,2,0,1,1
knap,,,2062,2040,2,0,1,1
elmaliii,,,2016,2000,2,0,1,1
sah10,,,2240,2240,2,0,1,1
outlier,,,2191.459184,2160,2,9,3,12
ajosilso,,,2011.333333,2000,2,2,1,3
durnius,,,2140.4,2120,2,3,2,5
lt1,,,2071,2040,2,0,1,1
yayan,,,2012,2000,2,0,2,2
Red_Allert,,,2004.875,2000,2,2,0,2
SINA_001,,,2010,2000,2,0,1,1
leguizcaro,,,2018,2000,2,1,0,1
payman7,,,2017.763393,2000,1,0,2,2
Ivan_Vodka,,,2007,2000,2,0,1,1
christopheh,,,2025,2000,2,0,1,1
mofo,,,2079.642857,2040,2,5,9,14
tir44,,,2018,2000,2,1,0,1
killourtrees,,,2034.2,2000,2,5,5,10
_Kozel_,,,2073.5625,2040,4,1,1,2
edrisiran,,,2226.5,2200,4,3,1,4
Castlan,,,2076.527778,2040,1,0,1,1
younes76656,,,2051,2040,4,0,1,1
Ced97418,,,2009,2000,2,0,1,1
kostya19841,,,2069.142308,2040,2,1,2,3
breizhladen,,,2066.503086,2040,1,0,1,1
Germain,,,2024.166667,2000,1,1,0,1
dex26,,,2127.454545,2120,2,0,11,11
paximi,,,2032.5,2000,2,3,5,8
Varon,,,2067,2040,2,1,2,3
whatever,,,2106.722222,2080,1,1,0,1
salar,,,2156,2120,2,0,1,1
qulko,,,2006.2,2000,2,2,3,5
ZSZZ,,,2011,2000,2,0,1,1
Trinidad84,,,2037.5,2000,2,2,4,6
ZSZ8,,,2054,2040,2,0,1,1
ximoxo,,,2003,2000,2,0,1,1
hosein1370,,,2222.166667,2200,2,9,9,18
chessbandit,,,2120,2120,2,3,1,4
hosein1991,,,2057,2040,2,0,1,1
grigri,,,2250,2240,2,1,2,3
gaith,,,2018.777778,2000,2,5,4,9
litavrist,,,2042.846667,2040,4,0,1,1
Morie1213,,,2218.333333,2200,2,1,2,3
sachinder,,,2108.5,2080,2,4,4,8
ludonissa,,,2025.75,2000,2,0,4,4
jcb312,,,2057.666667,2040,2,2,1,3
karlsrue,,,2179,2160,2,1,0,1
BernardBlack,,,2097,2080,2,0,1,1
grandwwwlz,,,2009,2000,2,0,1,1
durrrrr,,,2007,2000,2,0,1,1
hashemian,,,2156.043478,2120,2,6,17,23
anand1,,,2121.973485,2120,1,5,4,9
Bishnu,,,2155.5,2120,2,3,1,4
Andp,,,2056.3,2040,2,5,5,10
MxTriX_,,,2040.472222,2040,4,0,1,1
jaier,,,2125.111842,2120,1,0,2,2
yura_hist,,,2159,2120,2,1,0,1
abbasimehdi60,,,2050,2040,2,3,1,4
comegatas,,,2036,2000,2,2,0,2
Orochimaru,,,2227.633333,2200,1,1,0,1
litning,,,2024,2000,2,1,0,1
aroshka,,,2004,2000,2,1,0,1
yalenydd,,,2087,2080,2,1,0,1
Acorus,,,2001.416667,2000,4,1,0,1
SMJT,,,2049.5,2040,2,0,2,2
Oberst,,,2158.666667,2120,2,0,3,3
xtrem999,,,2043,2040,2,0,1,1
Cerceris,,,2058,2040,2,0,1,1
bauk,,,2083,2080,2,0,1,1
nietszche,,,2015,2000,2,1,1,2
I-_-I,,,2030,2000,2,0,1,1
hentes81,,,2026.5625,2000,2,1,1,2
HiddenCatch,,,2045,2040,2,1,0,1
Guras,,,2089,2080,2,1,1,2
CARLSENOV,,,2131,2120,2,0,1,1
Ronin13,,,2052,2040,2,1,1,2
vladfeod,,,2009.166667,2000,2,3,3,6
ehsan_fire,,,2008,2000,2,1,0,1
giuliob,,,2047,2040,2,1,2,3
fotc,,,2015.291667,2000,1,0,1,1
misaaa,,,2031.5,2000,2,3,1,4
rachomtbg,,,2014,2000,2,1,0,1
BlackFury,,,2132.2,2120,2,3,2,5
PhilyL,,,2054,2040,26,1,1,2
obloumov,,,2019.5,2000,26,1,1,2
svetozar,,,2057.666667,2040,2,0,1,1
waxd,,,2074,2040,2,0,1,1
Mirze1,,,2238.8,2200,2,0,5,5
Karpov14,,,2036,2000,2,1,1,2
fi05,,,2060.944444,2040,1,0,1,1
Salar_51,,,2061,2040,2,0,2,2
yasir752,,,2066.620261,2040,1,2,1,3
Polmipoque,,,2058.8,2040,1,0,1,1
alikamak,,,2065,2040,28,0,1,1
zivnix,,,2027,2000,28,1,0,1
Kokon-25,,,2003,2000,2,0,1,1
Clark-Bent,,,2057,2040,2,2,0,2
paradigma,,,2016,2000,2,1,0,1
Svesh,,,2054.017068,2040,0,0,1,1
pumpicka,,,2089.5,2080,2,4,2,6
darewing,,,2052.097222,2040,2,5,2,7
kansinat,,,2082,2080,2,1,0,1
ostadbozorg3400,,,2286,2280,2,1,1,2
Confutatis,,,2094.555556,2080,2,1,0,1
winner78899,,,2083.5,2080,2,1,1,2
Clams,,,2095,2080,2,1,0,1
uzaif,,,2032,2000,2,1,0,1
DeathInTheToilet,,,2048.337719,2040,1,0,1,1
BuffaloMuch,,,2052,2040,2,0,1,1
