ID,Win Rate,Elo Bucket
\=-ParLaMenT,0,
-_______-,0.909090909,2080
-_si_-,1,2040
1nate2nate,0.64516129,2040
1smurf5,0,2040
55555,0,2000
80206000,0.5625,2000
91123020,0.352941176,2120
ACKET,0,2160
AP007,0.333333333,2000
ATorrente,0.474358974,2040
AceofSpies,0.666666667,2120
Acorus,0.5,2000
Adam82,0.6,2120
Adegeminas,0.428571429,2080
Aiss,1,2000
Akademia0,0.8,2040
Al3j0,0,2000
Alanas,0.268292683,2400
Albator,0.412844037,2160
AlexDeSouza,1,2120
Alex_1987,0.5,2000
Alexinio99,0.538461538,2120
Ali_rastbod,0.51,2320
AltaMachine,1,2000
AnatoliyPechenkin,0.756097561,2000
Andp,0.8,2040
Andreyp,1,2040
AnnieK,0.5,2000
Anomander,0.294117647,2240
Anonim_13,0.25,2040
AntaresS81,0.3,2120
Aplitic,0.285714286,2200
ArKen,0,2000
Argentinaa,0.75,2040
Arkadiusz,0.80952381,2000
Artur2014,0,2120
Artusik12357,1,2040
Assios,0.650306748,2240
BAHTIYAR,1,2000
BATA007,1,2000
BAXONIZO,0.6875,2040
BAZOUKA,0.428571429,2040
BND,0.645833333,2040
BOURAKA,1,2000
BOZ969,1,2160
BVB09,0.494623656,2080
Badkoos,1,2000
Bagirow,0.714285714,2040
Bale11,1,2080
Baluk,0.519230769,2120
Barista,1,2000
BearJr,0.674418605,2040
Benkoman,0.333333333,2000
Berezkin,0.49691358,2120
BernardBlack,0,2080
Bg7,0,2040
BigBugBenteke,0.526315789,2160
BigRip,0.461538462,2160
Binimoy,0,2000
Bishnu,0.5,2120
BlackFury,0.8,2120
Blake,0.615384615,2040
BlauerKlaus,0,2000
Blitz177,0.5,2000
Blitz1777,0,2280
Blitzki,0.333333333,2040
Blitzstream-twitch,0.32115869,2440
Bordok,0.578947368,2040
Bouchard,1,2040
Bozantium666,0.238095238,2160
Breslin,1,2120
Buckokokos,0.551724138,2040
BuffaloMuch,0,2040
Butafor,0.333333333,2120
Buzzz2,1,2000
CARLSENOV,1,2120
CEKTAHT_,0,2000
Cafetiere,1,2000
CaicoAmaral,0.638888889,2040
Camembert,1,2000
CanadianChess,1,2080
Capivarabq,1,2000
CarIsen,1,2000
Castlan,0.461538462,2080
Castrito,0.222222222,2040
Ced97418,0.5,2000
Cerceris,0,2040
Chalberts,0.489208633,2080
Chechess,0.469135802,2040
Cheese_chess,0.75,2120
ChesSuxX,1,2000
Chess-mat,1,2000
ChessBeam,0.5,2080
ChessFantom,0.75,2000
ChessWhiz,0,2000
Chess_mosaics,0.675,2000
Chessrk,0,2000
ChikChak,1,2000
Chiribim,0,2080
Choco3000,0,2000
Chovier,0.6,2120
Churro,0,2080
Clams,1,2080
Clark-Bent,1,2040
Cliquot,0.333333333,2000
ComeUppance,0.6,2120
Confutatis,0,2080
CormoranKR,0.58,2040
Cosine180,0.666666667,2080
CrazyMadMax2,0.767857143,2040
CrazyMadMax3,0.570552147,2120
D10Kas,1,2000
D31282,0.75,2000
DEVELOP3R,0.5,2160
DOGALGAZ,0,2240
DRAGONUA,1,2080
D_Stahlberg,0.418604651,2080
DaFud,0.769230769,2080
Daddylonglegs,0,2000
Daffix,0.396825397,2200
Daimon1990,0.375,2040
Dajaneira,0.615384615,2000
Dake,0,2080
Daltonic,0.666666667,2000
Daniel1999,0.442857143,2160
Danverg,0.263157895,2080
DariusIV,0.625,2080
DarkHole,1,2120
Dcollins,1,2000
Death1vs1,1,2000
DeathInTheToilet,0.384615385,2040
Delgeriatrico,0.25,2000
Demonique,0.55,2000
Desteyn-2014,0,2000
Discofox,0.272727273,2120
Dominated,0.301886792,2440
DontBeMad,0.222748815,2440
DrMorte,1,2000
DrValue,0.489130435,2080
DragonRU,0.333333333,2200
Drak,0.333333333,2120
Draker,0,2000
DreamLight6767,1,2120
Dreampower,0.6,2080
DrinkaBit,0,2160
DuetKiller,0.5,2080
DuraznoSangrante,0.666666667,2000
EDPAUL,0.5,2080
ENERGIE73,0.458333333,2160
Ed1,0,2080
Egor777,1,2000
Eliobonor,0,2080
EricKaneda,0.8,2000
Eurekatimes,1,2000
FM-KARZAKI,0.7,2160
FMiki,1,2000
Farshad54,0.49,2040
Feder,0,2040
FifthCategory,0.5,2000
Flasher452,0,2000
Florinmagnus,0.541984733,2040
Frankel,0,2000
Frankovich73,1,2000
FuturoMestre,0.125,2040
GMICE,1,2000
GMIsmael,0,2040
GMShaokhan,0.75,2080
GMstrange,0.5,2040
GNBGHBGH,0.857142857,2040
GRN,0.666666667,2040
GameStarted,0.583333333,2040
Germain,0.567741935,2000
Giftzwerg,1,2040
Glotoswert,1,2000
GodsLeftHand,0,2040
GoodTimes,0.535714286,2120
Gorn,0.537037037,2160
GrabWlad,1,2120
Gravey4rd,0.25,2320
Grettir,0.666666667,2000
GruenfeldAdict,0.6,2000
Guras,0.5,2080
HHHHHHH0,1,2000
HJKJKHJK,0.454545455,2280
Hallon,0.666666667,2000
HeunD,0.333333333,2000
HiddenCatch,1,2040
HillHock,1,2160
HoaiNiem,0.6,2040
Horobetz,0.342465753,2360
Hossein1992,1,2000
Huevon,0.458333333,2040
HydroLux,0.5,2320
I-_-I,1,2000
IMBallesteros,0.428571429,2120
I_laugh_at_you,0.125,2040
IgorKoc,0.618556701,2040
ImprovingSkill,0.26344086,2360
InTheEnd,0,2360
Indomable,1,2000
Ingentalang,0.576470588,2040
InsanePwn,0.611111111,2040
IvTK,0.507692308,2040
Ivan_Vodka,1,2000
JMC-,0.666666667,2040
JMD,0.527777778,2080
JOWD,1,2120
JTMFC,0.5,2000
JYOTHSNA-NLC,1,2000
JackBauer,1,2040
JaffaCakes,0.5,2000
JakobBo,0.631578947,2080
JasonVoorhees,0.5,2120
Jcat84,0.40625,2080
JeanH,0.493506494,2200
JessePinkman,0,2600
JimmyMow,0.679245283,2040
JoaBN,0.353982301,2440
JokingHero,0,2040
JonggXi,0.64516129,2040
Jurij,0.444444444,2040
Justlikemusic,1,2040
Jusuf-Np,0.485714286,2040
KG_Chess,0.75,2040
KIKIKIKIKCVKC,0.5,2400
KNST_495_888,0.818181818,2000
KSKSKSKSXFNDMVCNMXV,0.444444444,2360
Kaaater,1,2000
Kamillentee,0.64516129,2080
KarelusMaximus,0,2040
Karpov14,0.5,2000
Kazan2502,0.451612903,2120
Kingscrusher-YouTube,0.578778135,2160
Kiyotaka,0.166666667,2200
Kobylka,0.444444444,2040
Koji,1,2000
Kojokari_Dmitri,0.16,2280
Kokon-25,0,2000
Kollanda,0.4,2040
Korjab,0,2200
KotovSyndrome,0,2000
Kramfran,0.411764706,2040
Krochnoi,0.666666667,2000
Kudos,0.448979592,2040
Kuroda,1,2000
Kushtrimh,0.413793103,2040
LDBKC,0,2000
LRJ,0,2040
LUISJAVIERLP,0.230769231,2200
Lagrange,1,2160
Lajosportis,0.5,2040
Lasker1900,0.095238095,2320
Laterp,0.5,2040
Laudatio,0.304347826,2000
Lediamov,0.533333333,2000
LeeWanCleef,0.375,2040
Leningrado,0.5,2040
Leone,1,2000
Letins888,1,2040
LevonKarapetyan,1,2000
Lewis61,0.666666667,2000
Litium,0.429577465,2120
LittleDidYouKnow,0,2120
Lockstockandtwo,0.333333333,2200
LordKiseiju,0,2200
LoroVerde,0.554347826,2080
Ludwig_I,1,2000
Lunaticz,1,2000
Luters,0.428571429,2080
Lyova,0,2040
MAKARROS,0.833333333,2000
MARKEUR,0.681818182,2080
MINTUPIEZZI,1,2080
MKna150,0.625,2000
MLUN,0.492647059,2040
MONOZEVICH,0.625,2080
MR-Siamak,0.582278481,2040
MRnimapashi,0,2120
M_M_M,1,2200
Magnushoracio,0.666666667,2120
Mahmud,0.25,2080
